id,label
256442,unrelated
256443,unrelated
256444,unrelated
256445,agreed
256446,unrelated
256447,unrelated
256448,agreed
256449,disagreed
256450,agreed
256451,agreed
256452,agreed
256453,agreed
256454,agreed
256455,agreed
256456,unrelated
256457,unrelated
256458,agreed
256459,unrelated
256460,unrelated
256461,agreed
256462,disagreed
256463,unrelated
256464,unrelated
256465,unrelated
256466,agreed
256467,agreed
256468,unrelated
256469,unrelated
256470,agreed
256471,unrelated
256472,agreed
256473,unrelated
256474,disagreed
256475,unrelated
256476,unrelated
256477,agreed
256478,agreed
256479,unrelated
256480,unrelated
256481,agreed
256482,unrelated
256483,agreed
256484,agreed
256485,agreed
256486,unrelated
256487,unrelated
256488,unrelated
256489,agreed
256490,agreed
256491,agreed
256492,agreed
256493,unrelated
256494,agreed
256495,agreed
256496,agreed
256497,unrelated
256498,disagreed
256499,agreed
256500,agreed
256501,agreed
256502,disagreed
256503,disagreed
256504,agreed
256505,agreed
256506,unrelated
256507,unrelated
256508,unrelated
256509,agreed
256510,unrelated
256511,unrelated
256512,unrelated
256513,unrelated
256514,unrelated
256515,unrelated
256516,agreed
256517,unrelated
256518,unrelated
256519,agreed
256520,agreed
256521,unrelated
256522,agreed
256523,disagreed
256524,disagreed
256525,unrelated
256526,agreed
256527,agreed
256528,unrelated
256529,unrelated
256530,disagreed
256531,unrelated
256532,unrelated
256533,agreed
256534,disagreed
256535,agreed
256536,agreed
256537,disagreed
256538,unrelated
256539,agreed
256540,unrelated
256541,disagreed
256542,unrelated
256543,agreed
256544,disagreed
256545,unrelated
256546,unrelated
256547,unrelated
256548,agreed
256549,unrelated
256550,disagreed
256551,unrelated
256552,disagreed
256553,disagreed
256554,agreed
256555,unrelated
256556,disagreed
256557,unrelated
256558,agreed
256559,unrelated
256560,unrelated
256561,agreed
256562,agreed
256563,agreed
256564,disagreed
256565,unrelated
256566,unrelated
256567,agreed
256568,agreed
256569,disagreed
256570,unrelated
256571,unrelated
256572,unrelated
256573,agreed
256574,unrelated
256575,agreed
256576,unrelated
256577,agreed
256578,agreed
256579,unrelated
256580,agreed
256581,agreed
256582,unrelated
256583,unrelated
256584,unrelated
256585,agreed
256586,unrelated
256587,disagreed
256588,agreed
256589,agreed
256590,unrelated
256591,unrelated
256592,agreed
256593,unrelated
256594,unrelated
256595,unrelated
256596,disagreed
256597,disagreed
256598,unrelated
256599,disagreed
256600,unrelated
256601,agreed
256602,agreed
256603,agreed
256604,agreed
256605,unrelated
256606,unrelated
256607,agreed
256608,agreed
256609,unrelated
256610,disagreed
256611,unrelated
256612,agreed
256613,unrelated
256614,agreed
256615,unrelated
256616,unrelated
256617,unrelated
256618,unrelated
256619,unrelated
256620,unrelated
256621,unrelated
256622,disagreed
256623,agreed
256624,disagreed
256625,unrelated
256626,disagreed
256627,unrelated
256628,unrelated
256629,unrelated
256630,agreed
256631,unrelated
256632,disagreed
256633,unrelated
256634,disagreed
256635,unrelated
256636,unrelated
256637,agreed
256638,agreed
256639,agreed
256640,agreed
256641,agreed
256642,agreed
256643,agreed
256644,unrelated
256645,unrelated
256646,unrelated
256647,agreed
256648,disagreed
256649,unrelated
256650,agreed
256651,unrelated
256652,agreed
256653,disagreed
256654,unrelated
256655,agreed
256656,unrelated
256657,agreed
256658,unrelated
256659,agreed
256660,unrelated
256661,unrelated
256662,unrelated
256663,agreed
256664,agreed
256665,unrelated
256666,disagreed
256667,unrelated
256668,agreed
256669,unrelated
256670,disagreed
256671,unrelated
256672,unrelated
256673,unrelated
256674,agreed
256675,unrelated
256676,agreed
256677,unrelated
256678,disagreed
256679,agreed
256680,unrelated
256681,agreed
256682,agreed
256683,unrelated
256684,unrelated
256685,agreed
256686,agreed
256687,unrelated
256688,unrelated
256689,unrelated
256690,agreed
256691,unrelated
256692,unrelated
256693,unrelated
256694,disagreed
256695,agreed
256696,agreed
256697,agreed
256698,agreed
256699,unrelated
256700,agreed
256701,agreed
256702,unrelated
256703,agreed
256704,agreed
256705,agreed
256706,agreed
256707,unrelated
256708,agreed
256709,disagreed
256710,agreed
